"rank","name","symbol","price_usd","market_cap_usd","volume24h_usd"
1,"Bitcoin","BTC",115288.746558863090000000000000,2298997336344.55935666508000000000000000000000,52811436570.64193726
2,"Ethereum","ETH",4128.470501624268000000000000,498298668369.41152918486406709864000000000000,32347625541.39530182
3,"XRP","XRP",2.635797918421874700000000,158193420420.25241739705051990000000000000000,5021803365.84123611
4,"BNB","BNB",1138.680790729816400000000000,156839880635.50808671532940000000000000000000,3436578033.35345745
5,"Solana","SOL",200.323821689450850000000000,110118240202.44630036324055467215100000000000,6853768391.07085800
6,"Dogecoin","DOGE",0.199929706331195720000000,30297101060.88586066492542991761560000000000,1921682990.23748374
7,"TRON","TRX",0.299404641959685100000000,28343797251.20938984926213001525080000000000,702101591.87902820
8,"Cardano","ADA",0.666202368172276800000000,23886325760.09720713804167011192160000000000,1073029859.44112992
9,"Hyperliquid","HYPE",48.141633339081146000000000,16208576363.78623689978097400000000000000000,668745524.45363474
10,"Chainlink","LINK",18.490327047019548000000000,12884983856.37423689824815253500708000000000,767895226.96912551
11,"Bitcoin Cash","BCH",565.751074397850200000000000,11284018329.08000180904000000000000000000000,807462561.64508438
12,"Stellar","XLM",0.327658885549384300000000,10492875087.74674010293459681521300000000000,484755174.05640221
13,"Sui","SUI",2.613782259474518000000000,9476902555.88798763691363173297200000000000,897862330.62015235
14,"UNUS SED LEO","LEO",9.456611976741614000000000,8722719896.05529264173770660000000000000000,816373.65081906
15,"Avalanche","AVAX",20.148623299276860000000000,8596877582.27198778900502319748600000000000,485433413.94279855
16,"Hedera","HBAR",0.201863343038193620000000,8574191909.81480863182170917501770980000000,1079428977.64914203
17,"Litecoin","LTC",98.717956783982810000000000,7547783288.47906579758110502749350000000000,1485647985.78275704
18,"Monero","XMR",337.016829445914000000000000,6216863201.32179624490107027870000000000000,147394136.06087354
19,"Shiba Inu","SHIB",0.000010299332760487216000,6068834975.06302171402407584218053609040000,153925206.27731785
20,"Cronos","CRO",0.161214851319534340000000,5816493131.36245327083408430185180000000000,67011239.66376527
21,"Toncoin","TON",2.275434380612032700000000,5736031165.14325611694961786916567300000000,220417423.67410025
22,"Zcash","ZEC",333.043743287360540000000000,5423348107.07141052574078562219200000000000,756569176.27723920
23,"Mantle","MNT",1.660464764990020800000000,5401398987.03475831544692641928656000000000,155960774.05727854
24,"Polkadot","DOT",3.155165179697966500000000,5142097997.80275305566170453410105500000000,365156371.39123702
25,"Bittensor","TAO",449.061855973406400000000000,4574490298.17175975413839435217600000000000,518047640.62340885
26,"Uniswap","UNI",6.553534409393279000000000,4130892802.63850873299726109000000000000000,179243996.12236860
27,"Aave","AAVE",234.537652879345600000000000,3578902583.42180568542616942964800000000000,270639434.00630623
28,"World Liberty Financial","WLFI",0.144726364531286730000000,3556103956.77240783216019539000000000000000,225587545.67243016
29,"Ethena","ENA",0.492284446993513650000000,3522910573.79733205781250000000000000000000,288545193.02611309
30,"OKB","OKB",166.452513263415740000000000,3495502778.53173054000000000000000000000000,47380638.85508638
31,"Bitget Token","BGB",4.760272004175735000000000,3318855543.87772041639663297947070000000000,78520586.75948279
32,"Pepe","PEPE",0.000007224011758595272000,3039068781.81945634958511083362622299176000,324338698.41505617
33,"NEAR Protocol","NEAR",2.341770295941042200000000,2993774784.45148961170162980000000000000000,206139826.85787612
34,"Ethereum Classic","ETC",16.440062331661263000000000,2533409004.05972621459498569817709000000000,98550536.61752057
35,"Aptos","APT",3.471120290734660000000000,2495426322.46173479503674639288200000000000,118343128.41271521
36,"Ondo","ONDO",0.753567386215262200000000,2380600403.40148563072910380000000000000000,117384372.99392763
37,"MemeCore","M",2.256552714093375000000000,2345688951.78525653603775000000000000000000,10199556.21109881
38,"Aster","ASTER",1.092884718300228000000000,2205113496.11437003560000000000000000000000,423502645.37994647
39,"Polygon (prev. MATIC)","POL",0.200857381473770300000000,2113967731.73978710117886628531795400000000,121692768.19249357
40,"Pi","PI",0.252361577119385170000000,2091659493.08329373626855788363287000000000,62868522.54372950
41,"Worldcoin","WLD",0.909136425469010400000000,2052865856.45489615098308881049456000000000,134335540.69122621
42,"Arbitrum","ARB",0.328853410446634500000000,1811880975.44258500182352950000000000000000,167439222.86887830
43,"KuCoin Token","KCS",13.598614157865576000000000,1764132667.88799843631188782142840000000000,8322040.78813056
44,"Pump.fun","PUMP",0.004926251765569912000000,1743893125.01174884800000000000000000000000,470750743.94880944
45,"Internet Computer","ICP",3.199721426293105000000000,1725997866.29153324320315139677750000000000,65988274.36798906
46,"Story","IP",5.223861818422597000000000,1683353530.81737113578264000000000000000000,48303665.03920510
47,"Algorand","ALGO",0.190626544287003400000000,1675451125.44537166720849824427420000000000,125853748.24127683
48,"Kaspa","KAS",0.058489304764529404000000,1570894945.43120140166805752086866400000000,39283292.34776336
